Suburb,Address,Rooms,Type,SalePrice,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,HouseAge,Price_per_SqM,TotalRooms
Alphington,Address 0,5.0,h,2078557.0,S,Biggin,1/01/2016,7.352566688930913,3098.0,3.0,1.0,0.0,210.0613145750457,229.12410213750195,2014.0,Port Phillip City Council,-37.698225440199664,144.57193232036224,Southern Metropolitan,4485.0,12.0,9071.751861149101,6.0
Altona North,Address 1,4.0,u,1989924.0,SP,Jellis,1/01/2016,16.68848777823941,3062.0,4.0,3.0,1.0,683.0125896336701,229.12410213750195,1933.0,Moonee Valley City Council,-37.547054137190365,144.64452969471748,Northern Metropolitan,2541.0,93.0,8684.91783027613,7.0
Altona,Address 2,3.0,h,2081841.0,VB,Biggin,1/01/2016,4.472017298252849,3010.0,4.0,1.0,0.0,130.60272685037623,229.12410213750195,2009.0,Port Phillip City Council,-37.566278246781685,144.80880618121333,Southern Metropolitan,4478.0,17.0,9086.08470509421,4.0
Albert Park,Address 3,1.0,u,1766942.0,VB,Nelson,1/01/2016,12.448338784263017,3077.0,4.0,1.0,2.0,673.0248729201041,229.12410213750195,1966.0,Yarra City Council,-37.55508328364961,144.78801868569403,Southern Metropolitan,3485.0,60.0,7711.7247095184375,2.0
Ascot Vale,Address 4,5.0,u,2900340.0,VB,Biggin,1/01/2016,4.877912109093312,3005.0,2.0,3.0,2.0,488.0612114744855,229.12410213750195,1954.0,Port Phillip City Council,-37.5026155239956,145.0967895113402,Western Metropolitan,2417.0,72.0,12658.380209426628,8.0
Ashburton,Address 5,5.0,t,648240.0,S,Jellis,1/01/2016,18.013574012318678,3091.0,3.0,3.0,2.0,157.0745749781169,229.12410213750195,1961.0,Moonee Valley City Council,-37.61530883467245,144.56979062048924,Northern Metropolitan,1343.0,65.0,2829.209122709309,8.0
Altona North,Address 6,3.0,u,2432860.0,SP,Marshall,1/01/2016,6.212331493223473,3125.0,4.0,3.0,3.0,587.4782113231412,229.12410213750195,1956.0,Moonee Valley City Council,-37.822492414384136,145.4770671739485,Southern Metropolitan,9953.0,70.0,10618.088526278183,6.0
Ashwood,Address 7,1.0,u,1079892.0,S,Marshall,1/01/2016,16.63527801214596,3172.0,3.0,1.0,3.0,666.8094798019329,229.12410213750195,2004.0,Port Phillip City Council,-37.84728558479791,144.58194599384757,Western Metropolitan,5623.0,22.0,4713.131398773296,2.0
Armadale,Address 8,2.0,h,2294756.0,SP,Ray,1/01/2016,17.33444193868185,3184.0,3.0,2.0,0.0,921.9976388706924,229.12410213750195,2008.0,Yarra City Council,-37.85873830416629,144.55319236819523,Western Metropolitan,6186.0,18.0,10015.340937911766,4.0
Ascot Vale,Address 9,5.0,t,1127223.0,SA,Jellis,1/01/2016,13.503125185575032,3164.0,5.0,3.0,0.0,712.5350544889167,229.12410213750195,1985.0,Port Phillip City Council,-37.70877383191645,145.42506078132766,Western Metropolitan,6328.0,41.0,4919.705039688627,8.0
