area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_num,BHK,Price_per_SqFt
Built-up  Area,18-Dec,Whitefield,3 BHK,,2600,5.0,0.0,329.0830216251445,2600.0,3,12657.039293274789
Plot  Area,18-Dec,Kothanur,6 Bedroom,Theanmp,1206,1.0,3.0,30.52173735848143,1206.0,6,2530.823993240583
Plot  Area,19-May,Electronic City Phase II,6 Bedroom,,1206,1.0,1.0,336.38773477954675,1206.0,6,27892.84699664567
Carpet  Area,Ready To Move,Uttarahalli,4 Bedroom,,1100 - 1500,1.0,2.0,367.1624641565816,1300.0,4,28243.2664735832
Carpet  Area,18-Dec,Whitefield,4 Bedroom,Mainpro,2700,3.0,0.0,190.66659592112737,2700.0,4,7061.725774856569
Super built-up  Area,19-May,Electronic City Phase II,4 Bedroom,SollyCl,1310,4.0,3.0,212.2235138152708,1310.0,4,16200.268230173342
Built-up  Area,18-Dec,Uttarahalli,1 BHK,,1521,4.0,2.0,302.420618595865,1521.0,1,19883.012399465155
Super built-up  Area,Ready To Move,Kothanur,6 Bedroom,Coomege ,1440,5.0,3.0,302.3450976076581,1440.0,6,20996.187333865146
Carpet  Area,Ready To Move,Kothanur,6 Bedroom,Theanmp,1100 - 1500,1.0,2.0,253.17105751728076,1300.0,6,19474.69673209852
Plot  Area,Ready To Move,Uttarahalli,3 Bedroom,Coomege ,2700,3.0,3.0,382.5601525862372,2700.0,3,14168.894540231007
Plot  Area,Ready To Move,Chikka Tirupathi,1 BHK,SollyCl,1056,3.0,3.0,280.3284932393661,1056.0,1,26546.258829485425
Built-up  Area,18-Dec,Rajaji Nagar,1 BHK,Coomege ,1206,2.0,1.0,95.5028912796064,1206.0,1,7918.9793764184415
Carpet  Area,18-Dec,Old Airport Road,6 Bedroom,Coomege ,1521,4.0,1.0,324.32846637082804,1521.0,6,21323.370570074163
Built-up  Area,19-May,Old Airport Road,3 Bedroom,SollyCl,1521,3.0,3.0,210.929222294106,1521.0,3,13867.798967396844
Plot  Area,18-Apr,Whitefield,2 BHK,Coomege ,1056,3.0,0.0,45.66028559258688,1056.0,2,4323.890681116182
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,,1056,5.0,1.0,83.64810959366866,1056.0,1,7921.222499400442
Carpet  Area,Ready To Move,Old Airport Road,2 BHK,SollyCl,2700,5.0,1.0,300.1093042917452,2700.0,2,11115.159418212785
Carpet  Area,Ready To Move,Kothanur,2 BHK,,1100 - 1500,2.0,2.0,200.64799745477004,1300.0,2,15434.461342674616
Carpet  Area,19-May,Whitefield,6 Bedroom,,2600,3.0,0.0,60.61291506237254,2600.0,6,2331.265963937405
Carpet  Area,19-May,Electronic City Phase II,4 BHK,SollyCl,2600,4.0,2.0,255.00558397856108,2600.0,4,9807.907076098503
Plot  Area,18-Apr,Electronic City Phase II,3 BHK,Theanmp,1206,4.0,0.0,298.08696497134406,1206.0,3,24716.995437093206
Plot  Area,Ready To Move,Old Airport Road,6 Bedroom,SollyCl,1521,1.0,3.0,330.634076793814,1521.0,6,21737.940617607757
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Theanmp,2600,1.0,1.0,257.02108184879125,2600.0,3,9885.42622495351
Plot  Area,18-Apr,Rajaji Nagar,3 BHK,SollyCl,1440,2.0,1.0,85.11245687914399,1440.0,3,5910.587283273889
Carpet  Area,18-Apr,Kothanur,4 Bedroom,Coomege ,1521,4.0,0.0,329.1374840016984,1521.0,4,21639.545299256963
Built-up  Area,Ready To Move,Whitefield,1 BHK,,1100 - 1500,1.0,0.0,208.72102685858985,1300.0,1,16055.463604506911
Carpet  Area,Ready To Move,Electronic City Phase II,1 BHK,SollyCl,1521,3.0,2.0,108.84145239121531,1521.0,1,7155.9140296657015
Super built-up  Area,18-Dec,Chikka Tirupathi,3 Bedroom,Prrscly,1100 - 1500,1.0,2.0,152.9768318411124,1300.0,3,11767.448603162493
